學年度,年齡,總計,男,女
96,6,22.4,23,21.8
96,7,24.6,25.3,23.9
96,8,27.9,28.7,27
96,9,31.8,32.8,30.8
96,10,36.3,37.2,35.3
96,11,41.1,41.9,40.1
96,12,46.3,47.5,45
96,13,51.1,53.5,48.6
96,14,54.8,58.4,50.9
96,15,56.7,61,52
97,6,22.9,22.9,21.8
97,7,25.2,25.2,23.8
97,8,28.8,28.8,27
97,9,32.7,32.7,30.7
97,10,37,37,35.1
97,11,41.9,41.9,40.2
97,12,47.2,47.2,44.7
97,13,51,53.3,48.6
97,14,54.7,58.4,50.8
97,15,56.7,61,52
98,6,22.5,23,21.9
98,7,24.6,25.2,23.8
98,8,27.9,28.8,27
98,9,31.8,32.7,30.7
98,10,36,36.9,34.9
98,11,40.9,41.8,40
98,12,46.1,47.3,44.7
98,13,50.9,53.3,48.4
98,14,54.7,58.4,50.9
98,15,56.7,61.1,52
99,6,22.4,23,21.8
99,7,24.7,25.3,23.9
99,8,28,28.8,27.1
99,9,31.9,32.8,30.8
99,10,36.2,37.2,35.2
99,11,41.1,42,40.1
99,12,46.2,47.5,44.9
99,13,51.2,53.6,48.5
99,14,54.9,58.7,50.9
99,15,57,61.4,52.2
100,6,22.5,23,21.9
100,7,24.5,25.2,23.8
100,8,27.9,28.8,27
100,9,31.8,32.7,30.7
100,10,36.1,37,35
100,11,41,41.9,40.1
100,12,46,47.2,44.7
100,13,51,53.3,48.4
100,14,54.9,58.5,50.9
100,15,56.9,61.4,52.1
101,6,22.5,23.1,21.9
101,7,24.7,25.4,24
101,8,28,28.8,27
101,9,31.9,32.9,30.9
101,10,36.1,37.1,35.1
101,11,41,41.9,40.1
101,12,46.1,47.3,44.8
101,13,50.8,53.1,48.4
101,14,54.8,58.4,50.9
101,15,56.9,61.3,52.1
102,6,22.5,23,21.8
102,7,24.7,25.4,24
102,8,28.2,29,27.3
102,9,32,33,30.9
102,10,36.3,37.3,35.3
102,11,41.1,41.9,40.2
102,12,46.1,47.2,44.8
102,13,51,53.2,48.5
102,14,54.7,58.2,50.9
102,15,56.9,61.2,52.2
103,6,21.9,22.4,21.3
103,7,24.5,25.2,23.8
103,8,28.1,28.9,27.1
103,9,32.1,33.1,31
103,10,36.1,37.1,35
103,11,41.1,42,40.2
103,12,46,47.1,44.9
103,13,50.8,52.9,48.5
103,14,54.8,58.2,51.1
103,15,57.1,61.4,52.4
104,6,21.8,22.3,21.2
104,7,24.4,25.1,23.7
104,8,27.9,28.7,26.9
104,9,32,33,30.9
104,10,36.4,37.4,35.3
104,11,40.9,41.8,40
104,12,46.2,47.2,45
104,13,50.9,53,48.7
104,14,54.9,58.2,51.3
104,15,57.5,61.7,52.8
105,6,21.9,22.4,21.4
105,7,24.2,24.8,23.5
105,8,27.6,28.5,26.7
105,9,31.6,32.6,30.5
105,10,36.1,37.1,35
105,11,41,41.8,40
105,12,45.8,46.9,44.6
105,13,50.8,52.8,48.6
105,14,54.6,57.9,51.1
105,15,57.3,61.5,52.6
106,6,21.8 ,22.3 ,21.2 
106,7,24.0 ,24.6 ,23.3 
106,8,27.5 ,28.4 ,26.6 
106,9,31.5 ,32.6 ,30.4 
106,10,35.9 ,37.0 ,34.8 
106,11,40.9 ,41.8 ,40.0 
106,12,46.1 ,47.1 ,44.9 
106,13,50.7 ,52.7 ,48.4 
106,14,54.7 ,57.8 ,51.2 
106,15,57.4 ,61.6 ,52.7 
